ticket,category
Paymnt failed,BILLING
Invoice not recvd,BILLING
Refund status?,BILLING
Charged twice,BILLING
Need updated invoice,BILLING
Subscription not cancelled,BILLING
Where is my receipt,BILLING
Renewal charge is wrong,BILLING
Overcharged this month,BILLING
Payment declined again,BILLING
"Can you resend the invoice for last month, I never received it in my inbox.",BILLING
"My card was charged but the transaction shows as failed on my end, please check.",BILLING
"I was charged twice for the same subscription renewal this week, need a refund asap.",BILLING
"Hi team, could you please clarify why my monthly plan cost increased without any notice?",BILLING
The refund I requested two weeks ago still hasn't shown up in my bank account.,BILLING
"I cancelled my plan last month but you guys still billed me for this cycle, please fix this.",BILLING
Requesting a copy of all invoices from the last quarter for our accounting records.,BILLING
Why does the receipt show a different amount than what was actually deducted from my card?,BILLING
"I'd like to switch my billing cycle from monthly to annual, is that possible mid-subscription?",BILLING
"There seems to be a duplicate transaction on my statement, could someone look into this for me?",BILLING
"Good morning, I noticed an unfamiliar charge on my credit card statement labeled with your company name, can you explain what this is for?",BILLING
"We upgraded our plan last week and expected a prorated charge, but instead we were billed the full new amount plus the old one, which doesn't seem right.",BILLING
"I have been trying to update my payment method for three days and it keeps failing at checkout, is there a known issue with the billing portal?",BILLING
"Our finance department needs a formal invoice with GST details for the payment made on the 12th, could you send that over as soon as possible?",BILLING
"Hey, quick question, does the free trial automatically convert to a paid subscription or do I need to manually upgrade after 14 days?",BILLING
"This is extremely frustrating, I've been charged for a service I cancelled two months ago and support keeps giving me the runaround, I need this resolved today.",BILLING
"Please cancel my subscription effective immediately and confirm no further charges will be made to my account, I no longer wish to continue.",BILLING
"I'm getting a payment failure error every time I try to renew, even though my card has sufficient balance, could this be a gateway issue on your end?",BILLING
Can someone explain the breakdown of charges on my last bill? There's a line item I don't recognize.,BILLING
"kindly refund the amount deducted twice for order id 4521, waiting since last week no response",BILLING
"Just wanted to confirm, will I be billed prorated amount if I downgrade my plan halfway through the cycle?",BILLING
"urgent!! money got deducted from my acc but subscription still shows inactive, pls check asap",BILLING
"I noticed the annual plan price changed since I last checked, is there a way to lock in the old rate?",BILLING
"Requesting an itemized receipt for reimbursement purposes from my employer, standard invoice isn't enough.",BILLING
"The discount code I applied at checkout wasn't reflected in the final charged amount, can this be corrected?",BILLING
"Not happy with being billed for a premium feature I never enabled, please review my account settings and refund accordingly.",BILLING
How long does a refund usually take to process once approved on your end?,BILLING
"billing dept plz check my acc, paymnt shows pending frm 3 days",BILLING
"I would like to set up auto-pay for my monthly subscription, could you guide me through the process?",BILLING
There's a mismatch between the amount quoted during signup and what was actually charged to my account.,BILLING
Need tax invoice with company GSTIN number for tax filing,BILLING
"My credit card expired and auto-renewal failed, how do I reactivate my account without losing data?",BILLING
Why was I charged sales tax when my organization is tax-exempt?,BILLING
Please update our billing address on all future receipts,BILLING
I received a payment failure notification but my bank confirmed money was debited.,BILLING
Can I get a discount for paying 2 years upfront?,BILLING
Requesting refund due to service downtime during our product launch.,BILLING
The currency charged on my statement is USD instead of EUR as selected during checkout.,BILLING
Double deduction on my mastercard statement for subscription renewal.,BILLING
I tried paying via PayPal but the payment keeps getting reversed automatically.,BILLING
Kindly issue a credit note for the overbilled amount on invoice #8892.,BILLING
